Internship Program,Organisation,Country,Link,Eligibility (BSMS years),Subject,Duration,Deadline,Paid
ICTS Long Term Visiting Students Program,ICTS-TIFR,India,https://www.icts.res.in/academic/long-term-visiting-student-program,5,"Physics, Maths, Biology",1-2 semesters,,Paid
S. N. Bhatt Memorial Excellence Fellowship Program,ICTS-TIFR,India,https://www.icts.res.in/academic/summer-research-program,"2*, 3, 4, 5","Physics, Maths, Biology",2 months,,Paid
Summer Research Fellowship Program (SRFP),JNCASR-INSA-IASc-NASI,India,https://www.jncasr.ac.in/academic/fandeprogrammes/srfp,"2, 3, 4","Physics, Maths, Chemistry, Biology, ECS",2 months,,Paid
Visiting Students' Research Programme (VSRP),TIFR,India,https://www.tifr.res.in/~vsrp/,"3, 4, 5","Physics, Maths, Chemistry, Biology",2-3 months,Jan-Feb,
Bhabha Atomic Research Centre,BARC,India,https://www.barc.gov.in/student/,"3, 4","Physics, Chemistry, Biology, Maths",2-6 months,,
Summer Fellowship Programme,IIT Madras,India,https://sfp.iitm.ac.in/,"3, 4","Physics, Chemistry, Maths",2 months,,
Spark internship,IIT Roorkee,India,https://spark.iitr.ac.in/,"2, 3, 4","Physics, Maths, Chemistry, Biology",2-3 months,,
Internship program for summer,IIT Bhubaneswar,India,http://webapps.iitbbs.ac.in/internship-application/,"1, 2, 3, 4, 5","Physics, Maths, Chemistry, Biology",1-2 months,End-April,-
Summer Research Programme,IMSC Chennai,India,https://www.imsc.res.in/summer_research_programme,"2, 3, 4","Theoretical Physics, Maths, Computational Biology",2 months,,
National Initiative on Undergraduate Science (NIUS),HBCSE (TIFR),India,http://nius.hbcse.tifr.res.in/,1,"Physics, Astronomy, Chemistry, Biology",1-2 months,Oct,Unpaid
Project Oriented Biological Education (POBE),JNCASR,India,https://www.jncasr.ac.in/academic/fandeprogrammes/pobe,1,Biology,1-2 months (three consecutive years),-,-
"Undergraduate Associateship in
Physics and Biophysical Sciences",SINP Kolkata,India,http://www.saha.ac.in/web/education/course-programmes-undergraduate-associateship,2,"Physics, Biophysics",3 months (spread over UG years),-,-
Summer Student Program,SINP Kolkata,India,https://www.saha.ac.in/web/summer-program,4,"Physics, Biophysics",2 months,,
Summer Research Program,S.N. Bose National Centre for Basic Sciences,India,https://newweb.bose.res.in/AcademicProgrammes/SRP.jsp,"4, 5","Physics, Chemistry, Maths, Biophysics",2 months,,
IISER Pune Summer Student Program,IISER Pune,India,http://www3.iiserpune.ac.in/~sspc/,"2, 3, 4","Physics, Maths, Chemistry, Biology",1-2 months,,
Vacation Students' Programme,IUCAA Pune,India,https://www.iucaa.in/en/education/summer-winter-programmes/vacation-students-programme,"3, 4",Physics,1-2 months,March-April,Paid
IIST Summer internship,IIST,India,https://admission.iist.ac.in/internship/,3,Physics,2-3 months,End April,Unpaid
Summer Undergraduate Research Exposure (SURE),IIT Hyderabad,India,https://iith.ac.in/news/2023/02/03/Summer-Undergraduate-Research-Exposure/,"2, 3, 4","Physics, Chemistry, Maths, Biology, ECS",2-3 months,22-Feb,Paid
Summer Internship,IIT Ropar,India,https://www.iitrpr.ac.in/summer-internship/Application-Form,"1, 2, 3, 4, 5","Physics, Maths, Chemistry",1-2 months,27-Mar,Paid
IISER Bhopal Summer Intenship Program,IISER Bhopal,India,https://www.iiserb.ac.in/doaa/internship,"2, 3, 4",Listed Projects,1-2 months,16-Apr,Unpaid
